Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Comment (optional) delays at departure,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Comment (optional) delays on arrival,"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
2019,7.0,ANGOULEME,PARIS MONTPARNASSE,131.914979757,247.0,0.0,191.0,3.5763525305400004,2.67827260459,,41.0,22.924796748000002,5.23333333333,,0.25,0.15,0.275,0.125,0.025,0.175,21.0,32.9658730159,7.0,2.0,2019-07,25.0,15.0,27.500000000000004,12.5,2.5,17.5
2019,7.0,PARIS MONTPARNASSE,LA ROCHELLE VILLE,175.611570248,242.0,0.0,178.0,9.78080524345,7.03360881543,,47.0,27.085106383000003,6.12396694215,,0.2,0.24444444444400001,0.266666666667,0.24444444444400001,0.0,0.044444444444399996,35.0,32.0571428571,14.0,2.0,2019-07,20.0,24.444444444400002,26.6666666667,24.444444444400002,0.0,4.44444444444
2019,7.0,LE MANS,PARIS MONTPARNASSE,62.395348837200004,435.0,5.0,391.0,3.89697357204,3.5293410852699996,,91.0,18.440659340699998,4.43019379845,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 2 : le heurt d'un animal sur la ligne à grande vitesse Bretagne Pays de la Loire (9 TGV impactés pour 170 minutes perdues),
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 9 : une détection de chute de pierre déclenche les systèmes de protection aux abords des voies entre Angers et Nantes (12 TGV impactés pour 886 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 25 : un incendie aux abords des voies sur la ligne à grande vitesse Bretagne Pays de la Loire (42 TGV impactés pour 1203 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.16176470588199998,0.323529411765,0.264705882353,0.14705882352900002,0.0294117647059,0.07352941176469999,30.0,42.3672413793,13.0,4.0,2019-07,16.1764705882,32.3529411765,26.470588235300003,14.705882352899998,2.9411764705900003,7.35294117647
2019,7.0,ST MALO,PARIS MONTPARNASSE,172.421052632,114.0,0.0,101.0,1.95099009901,1.6856725146200002,,15.0,20.618888888900003,3.81213450292,,0.153846153846,0.153846153846,0.23076923076900002,0.38461538461499994,0.0,0.0769230769231,8.0,27.6208333333,2.0,0.0,2019-07,15.3846153846,15.3846153846,23.0769230769,38.4615384615,0.0,7.692307692310001
2019,7.0,PARIS MONTPARNASSE,ST PIERRE DES CORPS,67.31,404.0,4.0,284.0,8.37910798122,5.803125,,73.0,19.6084474886,4.17620833333,,0.184615384615,0.12307692307700001,0.4,0.16923076923099997,0.0769230769231,0.046153846153800006,28.0,37.6583333333,12.0,3.0,2019-07,18.4615384615,12.3076923077,40.0,16.9230769231,7.692307692310001,4.615384615380001
2019,7.0,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.59473684200003,190.0,0.0,123.0,4.76598915989,2.88771929825,,28.0,47.343452381000006,8.42210526316,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.259259259259,0.33333333333299997,0.222222222222,0.185185185185,0.0,0.0,28.0,47.343452381000006,13.0,4.0,2019-07,25.925925925900003,33.333333333300004,22.2222222222,18.5185185185,0.0,0.0
2019,7.0,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.26288659799997,194.0,0.0,86.0,5.1242248062,1.71469072165,,29.0,45.6109195402,8.4074742268,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).",0.37931034482799997,0.275862068966,0.0689655172414,0.206896551724,0.0344827586207,0.0344827586207,29.0,45.6109195402,13.0,4.0,2019-07,37.9310344828,27.5862068966,6.896551724139999,20.6896551724,3.4482758620699996,3.4482758620699996
2019,7.0,PARIS EST,METZ,85.399380805,323.0,0.0,239.0,10.278451882799999,7.552476780189999,,52.0,37.1448717949,5.52363261094,,0.24,0.18,0.16,0.26,0.16,0.0,28.0,60.874404761899996,16.0,11.0,2019-07,24.0,18.0,16.0,26.0,16.0,0.0
2019,7.0,PARIS EST,REIMS,46.3055555556,222.0,6.0,190.0,4.98526315789,4.36188271605,,36.0,28.5393518519,5.154243827159999,,0.323529411765,0.14705882352900002,0.176470588235,0.235294117647,0.117647058824,0.0,18.0,47.8416666667,11.0,5.0,2019-07,32.3529411765,14.705882352899998,17.6470588235,23.529411764699997,11.7647058824,0.0
2019,7.0,PARIS NORD,DOUAI,67.0,180.0,3.0,63.0,13.8621693122,4.62608286252,,30.0,25.5138888889,3.63305084746,,0.06666666666669999,0.266666666667,0.2,0.2,0.266666666667,0.0,18.0,35.6138888889,10.0,3.0,2019-07,6.666666666669999,26.6666666667,20.0,20.0,26.6666666667,0.0
