"ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","PROPERTY.GROUP","SSA","LATITUDE","LONGITUDE","LOCATION"
6921341,"08/17/2023",2023-01-19,"CN065014","COMPLIED","08/17/2023","REPAIR LINTELS","OTHER   :    :OTHER","REAR ELEVATION - AT ROLL UP DOOR /LINTEL - WARPED AND RUSTED WITH LARGE GAPS PACKED WITH MORTAR. PLANS AND PERMITS REQUIRED FOR LINTEL REPAIR AND REPLACEMENT.","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","BL00876",14007879,"CLOSED","N","COMPLAINT","CONSERVATION","5906 W FULLERTON AVE",5906,"W","FULLERTON","AVE",108040,NA,41.923970485,-87.773623048,"(41.9239704853799, -87.77362304754577)"
6921340,"08/17/2023",2023-01-19,"CN061014","COMPLIED","08/17/2023","REPAIR EXTERIOR WALL","OTHER   :    :OTHER","REAR ELEVATION - ABOVE ROLL UP DOOR /BRICKS - MISSING, SPALLING, AND CRUMBLING. PERMITS REQUIRED FOR MASONRY REPAIR.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","BL00876",14007879,"CLOSED","N","COMPLAINT","CONSERVATION","5906 W FULLERTON AVE",5906,"W","FULLERTON","AVE",108040,NA,41.923970485,-87.773623048,"(41.9239704853799, -87.77362304754577)"
6898068,"08/17/2023",2023-01-11,"CN061014","OPEN","","REPAIR EXTERIOR WALL","OTHER   :    :OTHER","NORTH AND SOUTH ELEVATION / EXTERIOR WALL - SPALLING BRICKS.WASHED OUT MORTAR AND MISSING BRICKS","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","87296",14132081,"FAILED","N","COMPLAINT","CONSERVATION","11308 S MICHIGAN AVE",11308,"S","MICHIGAN","AVE",520401,40,41.68866518,-87.621148608,"(41.68866517968443, -87.62114860809837)"
6897350,"11/09/2023",2023-01-10,"CN065034","OPEN","","REPAIR WINDOW SILLS","OTHER   :    :OTHER","NORTH ELEVATION / WINDOW SILLS - OPEN MORTAR JOINT .","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","87296",14164006,"FAILED","N","COMPLAINT","CONSERVATION","8201 S EVANS AVE",8201,"S","EVANS","AVE",429834,51,41.745688764,-87.60614625,"(41.745688763608754, -87.60614624975426)"
6897352,"11/09/2023",2023-01-10,"CN065014","OPEN","","REPAIR LINTELS","OTHER   :    :OTHER","NORTH ELEVATION / LINTELS -  BASEMENT TO 3 RD FL 3FT TO 16 INCHES RUSTED AND BENT . PERMIT REQUIRED TO REPLACE LINTELS","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","87296",14164006,"FAILED","N","COMPLAINT","CONSERVATION","8201 S EVANS AVE",8201,"S","EVANS","AVE",429834,51,41.745688764,-87.60614625,"(41.745688763608754, -87.60614624975426)"
6897355,"11/09/2023",2023-01-10,"CN062034","OPEN","","REPAIR COPING","OTHER   :    :OTHER","NORTH AND WEST ELEVATION / COPING - OPEN MORTAR JOINT .","Failed to maintain roof coping in good repair and free from cracks defects.  (13-196-530, 13-196-530(c) and 13-196-641)","87296",14164006,"FAILED","N","COMPLAINT","CONSERVATION","8201 S EVANS AVE",8201,"S","EVANS","AVE",429834,51,41.745688764,-87.60614625,"(41.745688763608754, -87.60614624975426)"
6897356,"11/09/2023",2023-01-10,"CN079014","OPEN","","REPAIR/REBUILD GARAGE OR SHED","OTHER   :    :OTHER","REAR / GARAGE -  EXTERIOR WALL WASHED OUT MORTAR ALL ELEVATION .PARPET BULGING OUT .OVERHEAD DOOR HEADER ROTTED . EXTERIOR WALL  LARGE STEP CRACKS AND PULLING AWAY ON NORTH SIDE OF GARAGE .CHIMNEY BRICKS MISSING . PERMIT REQUIRED TO REPAIR GARAGE .DANGEROUS AND HAZARDOUS GARAGE","Failed to maintain garage in sound condition and repair.  (13-196-530, 13-196-641)","87296",14164006,"FAILED","N","COMPLAINT","CONSERVATION","8201 S EVANS AVE",8201,"S","EVANS","AVE",429834,51,41.745688764,-87.60614625,"(41.745688763608754, -87.60614624975426)"
6897360,"11/09/2023",2023-01-10,"NC2071","OPEN","","WORK NOT ALLOWED","OTHER   :    :OTHER","EAST ELEVATION / WORK NOT ALLOWED - REAR 3 STORY ENCLOSED EXTERIOR  PORCH 20X8 FT REMOVED WITH 2FT SECTION AT BOTTOM LOOSE BRICKS . REMOVE ALL PARTITIONS AND FIXTURES (INCLUDING PLUMBING ELECTRICAL  INSTALLED  REAR PORCH WITHOUT A PERMIT.","Remove work performed without permit and restore building or site to original construction. (13-32-130, 13-32-290)","87296",14164006,"FAILED","N","COMPLAINT","CONSERVATION","8201 S EVANS AVE",8201,"S","EVANS","AVE",429834,51,41.745688764,-87.60614625,"(41.745688763608754, -87.60614624975426)"
6899381,"10/17/2023",2023-01-12,"EL1884","COMPLIED","10/16/2023","SEE INSPECTOR COMMENTS","","PROVIDE ELECTRICAL PERMIT IN ORDER TO CORRECT ALL ELECTRICAL VIOLATIONS (14A-4-404.6)","","398921",13909807,"PASSED","N","COMPLAINT","SPECIAL TASK FORCE","5741 N ELSTON AVE",5741,"N","ELSTON","AVE",214483,NA,41.985863359,-87.769701934,"(41.98586335907201, -87.76970193377801)"
6899065,"01/13/2023",2023-01-13,"EV1310","OPEN","","MAINT PLATFORM LIFT","","REPAIR EMERGENCY PHONE","Failed to maintain platform lift equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-380)","425425",13909615,"FAILED","N","PERMIT","ELEVATOR","6938 S EAST END AVE",6938,"S","EAST END","AVE",394517,NA,41.768565985,-87.582991315,"(41.76856598549566, -87.58299131466478)"
