Season,Episode,Character,Line
01,01,Marshall,(Opens ring) Will you marry me.
01,01,Ted,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor."
01,01,Marshall,"Got it. Thanks for helping me plan this out, Ted."
01,01,Ted,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things."
01,01,Marshall,"(laughs) yeah, sorry. We thought you were asleep."
01,01,Ted,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight."
01,01,Marshall,"Yeah, what are you doing tonight?"
01,01,Barney,"(on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians."
01,01,Ted,"Hey, you wanna do something tonight?"
01,01,Barney,"Okay, meet me at the bar in fifteen minutes, and Suit up!"
01,01,Ted,Hey.
01,01,Barney,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit."
01,01,Ted,I did that one time.
01,01,Barney,It was a blazer!
01,01,Ted,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted""."
01,01,Barney,I see what this is about. Have you forgotten what I said to you the night we met?
01,01,Barney,"Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal."
01,01,Ted,"Oh, right. Hi."
01,01,Barney,"Lesson one, lose the goatee. It doesn't look good with your suit."
01,01,Ted,I'm not wearing a suit.
01,01,Barney,"Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty."
01,01,Ted,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff."
01,01,Barney,"I thought I was your best friend. Ted, say I'm your best friend."
01,01,Ted,"You're my best friend, Barney."
01,01,Barney,"Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?"""
01,01,Ted,"Wai-no, no, no. We're not playing ""Have You Met Ted?"""
01,01,Barney,"(Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance)."
01,01,Ted,"(To Yasmine) Hi, I'm Ted."
01,01,Ted,It's a very pretty name.
01,01,Marshall,Hey!
01,01,Lily,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?"
01,01,Marshall,"Yes, I am."
01,01,Lily,Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.
01,01,Marshall,I can handle this; I'm full of surprises tonight.
01,01,Lily,So there's more surprises? Like what?
01,01,Marshall,BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves)
01,01,Ted,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now."
01,01,Ted,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?"
01,01,Ted,"Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!"
01,01,Marshall,"Okay, look what I got (runs to the fridge. Takes out wine bottle)"
01,01,Lily,Aw-honey. Champagne! (hands it to Marshall)
01,01,Marshall,(after short silence) Yeah. (hands it back)
01,01,Lily,"(realizing) No, you are too old to be scared to open a bottle of champagne!"
01,01,Marshall,I'm not scared.
01,01,Lily,Then open it!
01,01,Marshall,Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily)
01,01,Lily,"You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling)"
01,01,Marshall,(To Lily) will you marry me?
01,01,Ted,(To Yasmine) you wanna go out sometime?
01,01,Lily,"Of course, you idiot! (hugs him and they fall back)"
01,01,Ted,"Sup, Carl?"
01,01,Marshall,I promised Ted we wouldn't do that.
01,01,Lily,Did you know there's a pop tart under your fridge?
01,01,Marshall,"No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé."
01,01,Lily,aww (claps. They kiss)
01,01,Marshall,"I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)"
01,01,Lily,(YELLS)
01,01,Marshall,(covers mouth) OH!
01,01,Ted,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.
01,01,Barney,(ignoring) how does Carl land a Lebanese girl?
01,01,Ted,"It's always been ""don't even think about it till you're thirty"""
01,01,Barney,Exactly-the guy doesn't even own a suit!
01,01,Ted,"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" (Spots Robin)"
01,01,Ted,"Hey Barney, see that girl?"
01,01,Barney,"(to Robin) Hey, have you met Ted?"
01,01,Robin,"Let me guess, (points) Ted?"
01,01,Marshall,"I'm sorry, Lily. I'm so sorry. Take us to the hospital."
01,01,Lily,"Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!"" (realizes) Wow, complete stranger."
01,01,Ted,So what do you do?
01,01,Robin,I'm a reporter for Metro News 1.
01,01,Ted,(nods) Oh.
01,01,Robin,"Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon."
01,01,Ted,"Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy."
01,01,Robin,"Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy""."
01,01,Ted,You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.
01,01,Robin,She would love that! It does look fun in the movies.
01,01,Ted,"Hey, you wanna have dinner with me Saturday night?"
01,01,Robin,"Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it."
01,01,Ted,That's going to take a week?
01,01,Robin,"Yeah, he's going to eat it too, it's another record."
01,01,Ted,"Uh, I know this is a long shot, but how about tomorrow night?"
01,01,Robin,"(stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun."
01,01,Barney,(comes back laughing) De-wait for it-nied! Denied!
01,01,Ted,We're going out tomorrow night.
01,01,Barney,I thought we were playing laser tag tomorrow night?
01,01,Ted,"Yeah, I was never going to go play laser tag. (Wipes alcohol off his face)"
01,01,Robin,Wow that is one bad-ass blue French horn.
01,01,Ted,Yeah.
01,01,Robin,Mhmm.
01,01,Ted,Sort of looks like a... Smurf pen1s.
01,01,Marshall,Lilly?
01,01,Lily,How long have you been sitting there!? Stupid eye patch.
01,01,Ted,"Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?"
01,01,Marshall,Oh let's see (thinks) she likes dogs?
01,01,Robin,I've got five dogs.
01,01,Robin,I love a scotch that's old enough to order its own scotch.
01,01,Marshall,"Can quote obscure lines from ""Ghostbusters""?"
01,01,Robin,"Ray, when someone asks you if you're a god you say, ""Yes!"""
01,01,Ted,And I'm saving the best for last.
01,01,Robin,Do you want these? (Holding up remaining olives from her plate) I hate olives.
01,01,Marshall,She hates olives! Awesome!
01,01,Lily,The olive theory.
01,01,Ted,"The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive)."
01,01,Robin,"You know, I've had a jar of olives just sitting in my fridge forever."
01,01,Ted,(flirting) I can take them off your hands.
01,01,Robin,(flirting back) they're all yours.
01,01,Marshall,"Oh, it is on! It is on (imitates robot) till the break of dawn."
01,01,Lily,"wait, it's only the break of ten-thirty. What happened?"
01,01,Robin,"I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French."
01,01,Ted,No Green Clarinet?
01,01,Robin,No.
01,01,Ted,"Come on, no purple tuba?"
01,01,Robin,"It's a smurf pen1s, we're no dice."
01,01,Robin,"Um, alright. I'll be right there. (To Ted) I'm sorry. I had a really great time tonight."
01,01,Ted,Yeah.
01,01,Marshall,So? Did you kiss her?
01,01,Ted,"No. The moment wasn't right. (They sigh) Look, this woman could be my future wife; I want our first kiss to be amazing."
01,01,Lily,"Aww, Ted that's so sweet. So you chickened out like the little bitch."
01,01,Ted,What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.
01,01,Lily,"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him."
01,01,Barney,"(Phone) Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I killed you Connor; don't make me get your mom!"
01,01,Ted,"Hey, listen. I need your opinion on something."
01,01,Barney,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!"
01,01,Ted,So these guys think I chickened out. What do you think?
01,01,Barney,I can't believe you're still not wearing a SUIT!
01,01,Ted,She didn't even give me the signal.
01,01,Barney,"What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her!"
01,01,Ted,Not if you don't get the signal.
01,01,Barney,Ee-(Kisses Marshal) Did Marshall give me the signal?
01,01,Marshall,"No! (To Lily) I didn't, I swear."
01,01,Barney,"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her."
01,01,Ted,"Urgh, I should've kissed her. What about when she gets back from Orlando?"
01,01,Barney,A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.
01,01,Ted,There she is...
01,01,Lily,"Ooo. She's cute! (To Carl) Hey Carl, turn it up!"
01,01,Robin,"(on TV)...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from"
01,01,Marshall,"Huh, guy didn't jump"
01,01,Robin,"(on TV) Metro One News, back to you bill."
01,01,Ted,I'm goanna go kiss her. Right now.
01,01,Marshall,"Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!"
01,01,Ted,"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death."
01,01,Barney,"Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall)"
01,01,Ted,I'm doing this. (Starts to leave)
01,01,Lily,Let's go (pulls Marshall up)
01,01,Marshall,Word up!
01,01,Lily,We're coming with you.
01,01,Barney,"Alright, but under one condition."
01,01,Barney,"(happy) look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog!"
01,01,Ted,(To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.
01,01,Ted,"Excuse me, pardon me. (grabs the Blue French Horn) Enjoy your coffee. (Runs away)"
01,01,Ted,"go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers."
01,01,Ted,(Exhales) Okay. Moment of truth. Wish me luck. (Exhales)
01,01,Barney,Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives)
01,01,Lily,"Kiss her, Ted. Kiss her good."
01,01,Marshall,Kiss the crap out of that girl
01,01,Ted,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab)"
01,01,Barney,Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND!
01,01,Robin,I've got five dogs.
01,01,Ted,"Not good, not good, not good, not good."
01,01,Lily,No!
01,01,Marshall,Go back in there!
01,01,Barney,You're wearing a suit!
01,01,Robin,(from window) Ted?
01,01,Ted,"Hi! (Silence) I was just uh-(hold up Smurf pen1s, aka French Horn)"
01,01,Robin,Come on up.
01,01,Marshall,He's in.
01,01,Barney,"So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl."
01,01,Lily,Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves)
01,01,Barney,The women hot there?
01,01,Barney,(Whispers to Marshall) Simple no would have sufficed. (To Ranjit) She's lovely.
01,01,Robin,"So, Ted. What brings you back to Brooklyn at one in the morning in a-suit."
01,01,Ted,I was just hoping to get those olives... that you said I could have.
01,01,Robin,Would you like those olives with some Gin and Vermouth?
01,01,Ted,Are you trying to get me drunk?
01,01,Robin,For starters (turns music on. Leaves to the kitchen)
01,01,Ted,(Looks up and mouths) Thank you.
01,01,Barney,"So, Marshall. This ""Olive Theory"" based on you and Lily?"
01,01,Marshall,Yeah...
01,01,Barney,"You hate olives? Lily loves them, you can't stand them."
01,01,Marshall,"Yeah, hate olives."
01,01,Barney,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"
01,01,Marshall,(looks around for sign of Lily) You have to swear that this does not leave this cab.
01,01,Barney,I swear.
01,01,Marshall,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives."""
01,01,Barney,But you like olives!
01,01,Marshall,"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives."
