Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
Lenovo,Lenovo ThinkPad 14” HD Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 10,14,16,Intel Core i5 7th Gen.,Intel HD Graphics 520,Integrated/On-Board Graphics,,Very Good - Refurbished,189.99
Dell,"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 2TB SSD Wi-Fi Windows 11 Pro",15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,349.99
HP,"NEW HP 15 Laptop. 15.6"" 1080p, i5-1135G7, 8GB RAM, 256GB SSD,Win 11 -15-dy2795wm",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,369.95
Lenovo,2024 Lenovo Ideapad Laptop 15 FHD Touch Intel i5 Upto 40GB RAM&2TB SSD Win 11Pro,15.6,Up,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,459.0
Lenovo,"2024 Lenovo Ideapad Laptop 15.6"" FHD Touch Intel i5 16GB RAM & 512GB Win 11 Pro",15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,499.0
Microsoft,"Microsoft Surface Laptop 5 13.5"" - 512GB SSD, Intel Core i5 12th Gen., 8Gb RAM",13.5,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2256 x 1504,Open box,349.0
Lenovo,"Lenovo V15 G4 IRU 15.6"" Full HD Laptop, i7-1355U, 16GB RAM, 1TB SSD, W11P, Black",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,529.98
Dell,"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 2TB SSD Wi-Fi Windows 10 Pro",15.6,64,Intel Core i5 7th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,319.99
Microsoft,Microsoft Surface Laptop 2 -8th Gen - i5 - 1.70GHz - 8GB RAM - 256GB SSD (937),13.5,8,Intel Core i5 8th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,2256 x 1504,Very Good - Refurbished,245.0
Lenovo,Lenovo ThinkPad T470 14' LCD i5 Laptop PC 16GB RAM 256GB SSD Win 11 pro Cam Wifi,14,16,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,,Excellent - Refurbished,179.99
