index,game-of-thones-deaths,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Allegiance,Death No.,Episode,Killer,Killers House,Location,Method,Name,Season
1,Night's Watch,1,1,White Walker,None,Beyond the Wall,Ice sword,Waymar Royce,1
2,Night's Watch,2,1,White Walker,None,Beyond the Wall,Ice sword,Gared,1
3,Night's Watch,3,1,Ned Stark,House Stark,Winterfell,Sword,Will,1
4,None,4,1,Direwolf,None,Winterfell,Teeth,Stag,1
5,None,5,1,Stag,None,Winterfell,Antler,Direwolf,1
6,House Arryn,6,1,Lysa Arryn,House Arryn,King's Landing,Poison,Jon Arryn,1
7,Dothraki,7,1,Dothraki man,Dothraki,Pentos,Arakh,Dothraki man,1
8,None,8,2,Summer,House Stark,Winterfell,Teeth,Catspaw assassin,1
9,Smallfolk,9,2,"Sandor ""the Hound"" Clegane",House Lannister,Kingsroad,Sword,Mycah,1
10,House Stark,10,2,Ned Stark,House Stark,Kingsroad,Knife,Lady,1
11,House Arryn,11,4,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Spear,Ser Hugh of the Vale,1
12,House Clegane,12,5,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Clegane's horse,1
13,House Stark,13,5,Tribesman,None,Eastern Road,Bolo,Stark soldier,1
14,None,14,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
15,None,15,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
16,None,16,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
17,House Stark,17,5,Tribesman,None,Eastern Road,Mace,Stark soldier,1
18,None,18,5,Tyrion Lannister,House Lannister,Eastern Road,Shield,Tribesman,1
19,None,19,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1
20,None,20,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1
21,None,21,5,Bronn,House Lannister,Eastern Road,Knife,Tribesman,1
22,House Stark,22,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1
23,House Stark,23,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1
24,House Lannister,24,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
25,House Lannister,25,5,Ned Stark,House Stark,King's Landing,Sword,Lannister soldier,1
26,House Lannister,26,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
27,House Lannister,27,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
28,House Stark,28,5,Jaime Lannister,House Lannister,King's Landing,Knife,Jory Cassel,1
29,Free Folk,29,6,Robb Stark,House Stark,Winterfell,Sword,Wallen,1
30,Free Folk,30,6,Robb Stark,House Stark,Winterfell,Sword,Wildling,1
31,Free Folk,31,6,Theon Greyjoy,House Bolton,Winterfell,Arrow,Stiv,1
32,House Arryn,32,6,Bronn,House Lannister,The Eyrie,Sword,Vardis Egen,1
33,House Targaryen,33,6,Khal Drogo,Dothraki,Vaes Dothrak,Molten gold,Viserys Targaryen,1
34,House Baratheon of King's Landing,34,7,Boar,None,King's Landing,Tusk,Robert Baratheon,1
35,House Stark,35,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
36,House Stark,36,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
37,House Stark,37,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
38,House Stark,38,7,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Stark soldier,1
39,House Stark,39,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1
40,House Stark,40,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1
41,House Stark,41,8,Lannister soldier,House Lannister,King's Landing,Sword,Vayon Poole,1
42,House Stark,42,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1
43,House Stark,43,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1
44,House Stark,44,8,Lannister soldier,House Lannister,King's Landing,Sword,Septa Mordane,1
45,House Stark,45,8,Meryn Trant,House Trant,King's Landing,Sword,Syrio Forel,1
46,Smallfolk,46,8,Arya Stark,House Stark,King's Landing,Sword,Stableboy,1
47,None,47,8,Jon Snow,House Stark,Castle Black,Fire,Othor,1
48,None,48,8,Night's Watch brother,Night's Watch,Castle Black,Fire,Jafer Flowers,1
49,Dothraki,49,8,Khal Drogo,Dothraki,Lhazar,Hands,Mago,1
50,Dothraki,50,9,Mirri Maz Duur,None,Red Waste,Knife,Drogo's horse,1
51,Dothraki,51,9,Jorah Mormont,House Targaryen,Red Waste,Sword,Qotho,1
52,House Stark,52,9,Hill tribesman,None,Unknown,Hammer,Stark soldier,1
53,House Stark,53,9,Hill tribesman,None,Unknown,Sword,Stark soldier,1
54,None,54,9,Arya Stark,House Stark,King's Landing,Hands,Pigeon,1
55,House Stark,55,9,Ilyn Payne,House Payne,King's Landing,Sword,Ned Stark,1
56,Dothraki,56,10,Mirri Maz Duur,None,Red Waste,Magic,Rhaego,1
57,Dothraki,57,10,Daenerys Targaryen,House Targaryen,Red Waste,Pillow,Khal Drogo,1
58,None,58,10,Daenerys Targaryen,House Targaryen,Red Waste,Fire,Mirri Maz Duur,1
59,None,59,1,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Mace,Knight,2
60,House Targaryen,60,1,None,None,Red Waste,Starvation,The Silver,2
61,House Baratheon of Dragonstone,61,1,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Dragonstone,Poison,Maester Cressen,2
62,Smallfolk,62,1,Janos Slynt,Night's Watch,King's Landing,Knife,Barra (Baratheon illegitimate son),2
63,Smallfolk,63,1,City watch guard,House Lannister,King's Landing,Knife,Robert Baratheon's illegitimate son,2
64,Smallfolk,64,1,City watch guard,House Lannister,King's Landing,Water,Robert Baratheon's illegitimate son,2
65,Smallfolk,65,1,City watch guard,House Lannister,King's Landing,Unknown,Robert Baratheon's illegitimate son,2
66,House Targaryen,66,2,Rival Dothraki,Dothraki,Red Waste,Unknown,Rakharo,2
67,House Lannister,67,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
68,House Lannister,68,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
69,House Lannister,69,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
70,House Lannister,70,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
71,House Lannister,71,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
72,Night's Watch,72,3,Amory Lorch,House Lannister,Riverlands,Sword,Yoren,2
73,Night's Watch,73,3,Lannister soldier,House Lannister,Riverlands,Spear,Night's Watch recruit,2
74,Smallfolk,74,3,Polliver,House Baratheon of King's Landing,Riverlands,Sword,Lommy Greenhands,2
75,House Lannister,75,4,Grey Wind,House Stark,Oxcross,Teeth,Rennick,2
76,House Lannister,76,4,Grey Wind,House Stark,Oxcross,Teeth,Lannister soldier,2
77,None,77,4,The Tickler,House Clegane,Harrenhal,Rat,Prisoner,2
78,House Baratheon of Storm's End,78,5,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Storm's End,Shadow Demon,Renly Baratheon,2
79,House Baratheon of Storm's End,79,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2
80,House Baratheon of Storm's End,80,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2
81,House Clegane,81,5,Jaqen H'ghar,Faceless Men,Harrenhal,Unknown,The Tickler,2
82,House Stark,82,6,Theon Greyjoy,House Bolton,Winterfell,Sword,Rodrik Cassel,2
83,Free Folk,83,6,Night's Watch brother,Night's Watch,Beyond the Wall,Arrow,Wildling,2
84,Free Folk,84,6,Qhorin Halfhand,Night's Watch,Beyond the Wall,Sword,Wildling,2
85,Faith of the Seven,85,6,Peasants,None,King's Landing,Hands,High Septon,2
86,Smallfolk,86,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2
87,Smallfolk,87,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2
88,Smallfolk,88,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
89,Smallfolk,89,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
90,Smallfolk,90,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
91,House Lannister,91,6,Jaqen H'ghar,Faceless Men,Harrenhal,Poison dart,Amory Lorch,2
92,House Greyjoy,92,6,Osha,House Stark,Winterfell,Knife,Drennan,2
93,House Targaryen,93,6,Unknown,Unknown,Qarth,Unknown,Irri,2
94,House Lannister,94,7,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Alton Lannister,2
95,House Stark,95,7,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Torrhen Karstark,2
96,The Thirteen,96,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Spice King,2
97,The Thirteen,97,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Silk King,2
98,The Thirteen,98,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Copper King,2
